mes,dia,estacion
1,1,invierno
1,2,invierno
1,3,invierno
1,4,invierno
1,5,invierno
1,6,invierno
1,7,invierno
1,8,invierno
1,9,invierno
1,10,invierno
1,11,invierno
1,12,invierno
1,13,invierno
1,14,invierno
1,15,invierno
1,16,invierno
1,17,invierno
1,18,invierno
1,19,invierno
1,20,invierno
1,21,invierno
1,22,invierno
1,23,invierno
1,24,invierno
1,25,invierno
1,26,invierno
1,27,invierno
1,28,invierno
1,29,invierno
1,30,invierno
1,31,invierno
2,1,invierno
2,2,invierno
2,3,invierno
2,4,invierno
2,5,invierno
2,6,invierno
2,7,invierno
2,8,invierno
2,9,invierno
2,10,invierno
2,11,invierno
2,12,invierno
2,13,invierno
2,14,invierno
2,15,invierno
2,16,invierno
2,17,invierno
2,18,invierno
2,19,invierno
2,20,invierno
2,21,invierno
2,22,invierno
2,23,invierno
2,24,invierno
2,25,invierno
2,26,invierno
2,27,invierno
2,28,invierno
2,29,invierno
3,1,invierno
3,2,invierno
3,3,invierno
3,4,invierno
3,5,invierno
3,6,invierno
3,7,invierno
3,8,invierno
3,9,invierno
3,10,invierno
3,11,invierno
3,12,invierno
3,13,invierno
3,14,invierno
3,15,invierno
3,16,invierno
3,17,invierno
3,18,invierno
3,19,invierno
3,20,primavera
3,21,primavera
3,22,primavera
3,23,primavera
3,24,primavera
3,25,primavera
3,26,primavera
3,27,primavera
3,28,primavera
3,29,primavera
3,30,primavera
3,31,primavera
4,1,primavera
4,2,primavera
4,3,primavera
4,4,primavera
4,5,primavera
4,6,primavera
4,7,primavera
4,8,primavera
4,9,primavera
4,10,primavera
4,11,primavera
4,12,primavera
4,13,primavera
4,14,primavera
4,15,primavera
4,16,primavera
4,17,primavera
4,18,primavera
4,19,primavera
4,20,primavera
4,21,primavera
4,22,primavera
4,23,primavera
4,24,primavera
4,25,primavera
4,26,primavera
4,27,primavera
4,28,primavera
4,29,primavera
4,30,primavera
5,1,primavera
5,2,primavera
5,3,primavera
5,4,primavera
5,5,primavera
5,6,primavera
5,7,primavera
5,8,primavera
5,9,primavera
5,10,primavera
5,11,primavera
5,12,primavera
5,13,primavera
5,14,primavera
5,15,primavera
5,16,primavera
5,17,primavera
5,18,primavera
5,19,primavera
5,20,primavera
5,21,primavera
5,22,primavera
5,23,primavera
5,24,primavera
5,25,primavera
5,26,primavera
5,27,primavera
5,28,primavera
5,29,primavera
5,30,primavera
5,31,primavera
6,1,primavera
6,2,primavera
6,3,primavera
6,4,primavera
6,5,primavera
6,6,primavera
6,7,primavera
6,8,primavera
6,9,primavera
6,10,primavera
6,11,primavera
6,12,primavera
6,13,primavera
6,14,primavera
6,15,primavera
6,16,primavera
6,17,primavera
6,18,primavera
6,19,primavera
6,20,primavera
6,21,verano
6,22,verano
6,23,verano
6,24,verano
6,25,verano
6,26,verano
6,27,verano
6,28,verano
6,29,verano
6,30,verano
7,1,verano
7,2,verano
7,3,verano
7,4,verano
7,5,verano
7,6,verano
7,7,verano
7,8,verano
7,9,verano
7,10,verano
7,11,verano
7,12,verano
7,13,verano
7,14,verano
7,15,verano
7,16,verano
7,17,verano
7,18,verano
7,19,verano
7,20,verano
7,21,verano
7,22,verano
7,23,verano
7,24,verano
7,25,verano
7,26,verano
7,27,verano
7,28,verano
7,29,verano
7,30,verano
7,31,verano
8,1,verano
8,2,verano
8,3,verano
8,4,verano
8,5,verano
8,6,verano
8,7,verano
8,8,verano
8,9,verano
8,10,verano
8,11,verano
8,12,verano
8,13,verano
8,14,verano
8,15,verano
8,16,verano
8,17,verano
8,18,verano
8,19,verano
8,20,verano
8,21,verano
8,22,verano
8,23,verano
8,24,verano
8,25,verano
8,26,verano
8,27,verano
8,28,verano
8,29,verano
8,30,verano
8,31,verano
9,1,verano
9,2,verano
9,3,verano
9,4,verano
9,5,verano
9,6,verano
9,7,verano
9,8,verano
9,9,verano
9,10,verano
9,11,verano
9,12,verano
9,13,verano
9,14,verano
9,15,verano
9,16,verano
9,17,verano
9,18,verano
9,19,verano
9,20,verano
9,21,verano
9,22,verano
9,23,otono
9,24,otono
9,25,otono
9,26,otono
9,27,otono
9,28,otono
9,29,otono
9,30,otono
10,1,otono
10,2,otono
10,3,otono
10,4,otono
10,5,otono
10,6,otono
10,7,otono
10,8,otono
10,9,otono
10,10,otono
10,11,otono
10,12,otono
10,13,otono
10,14,otono
10,15,otono
10,16,otono
10,17,otono
10,18,otono
10,19,otono
10,20,otono
10,21,otono
10,22,otono
10,23,otono
10,24,otono
10,25,otono
10,26,otono
10,27,otono
10,28,otono
10,29,otono
10,30,otono
10,31,otono
11,1,otono
11,2,otono
11,3,otono
11,4,otono
11,5,otono
11,6,otono
11,7,otono
11,8,otono
11,9,otono
11,10,otono
11,11,otono
11,12,otono
11,13,otono
11,14,otono
11,15,otono
11,16,otono
11,17,otono
11,18,otono
11,19,otono
11,20,otono
11,21,otono
11,22,otono
11,23,otono
11,24,otono
11,25,otono
11,26,otono
11,27,otono
11,28,otono
11,29,otono
11,30,otono
12,1,otono
12,2,otono
12,3,otono
12,4,otono
12,5,otono
12,6,otono
12,7,otono
12,8,otono
12,9,otono
12,10,otono
12,11,otono
12,12,otono
12,13,otono
12,14,otono
12,15,otono
12,16,otono
12,17,otono
12,18,otono
12,19,otono
12,20,otono
12,21,invierno
12,22,invierno
12,23,invierno
12,24,invierno
12,25,invierno
12,26,invierno
12,27,invierno
12,28,invierno
12,29,invierno
12,30,invierno
12,31,invierno