tecnologia,tipo,vector,eficiencia,vida_util,costo_inicial,costo_om,costo_om_variable,emisiones_unitarias,vector_consumido,ratio_energia,aporta_inercia,tasa_aprendizaje,tasa_autodescarga
solar_pv,generacion,electricidad,0.95,25,541000,17000,0.0,0.0,,,0.0,0.20,
eolica,generacion,electricidad,0.8,25,1050000,16800,0.0,0.0,,,0.0,0.10,             # las deficiencias ya se tienen en cuenta dentro del modelo
hidrogeno_verde,gen_h2,hidrogeno,0.8,15,1700000,41000,1.0,0.0,,,,0.17,              # SE LO HA SALTADO #LE HE SUMADO EL COSTE DE LA CENTRAL SOLAR PARA GENERAR LA ENERGÍA
hidrogeno_para_electr,generacion,electricidad,0.8,15,1700000,61000,1.3,0.0,,,1.0,0.17,          # he mezclado lo que tenía de hidrogeno verde, pero con un poco más de coste por la parte de volver a quemarlo    # SE LO HA SALTADO #LE HE SUMADO EL COSTE DE LA CENTRAL SOLAR PARA GENERAR LA ENERGÍA, le sumo costes de almacen tb
ciclo_combinado,generacion,electricidad,0.9,30,645000,31800,3.0,0.4,gas,0.55,1.0,0.02,
nuclear,generacion,electricidad,0.95,40,79000000,140000,2.5,0.0,,,1.0,0.01,
hidraulica,generacion,electricidad,0.70,80,6400000,40000,0.0,0.0,,,1.0,0.01,
carbon,generacion,electricidad,0.9,35,4000000,40000,5.0,0.8,,,1.0,0.01,
bateria,almacenamiento,electricidad,0.9,15,687500,38650,0.25,0.0,electricidad,0.9,0.0,0.18,0.05
bateria_solar,generacion,electricidad,0.8,15,1228500,61000,0.30,0.0,,,1.0,0.17,
solar_termica,generacion,electricidad,0.80,30,2620000,112500,2.0,0.0,,,0.0,0.15,
#hidroeolica,generacion,electricidad,0.80,30,7000000,107000,0.1,0.0,,,0.5,0.06,       # SE LA HA SALTADO # ELIMINAR, ES DE LAS ISLAS
bombeo,almacenamiento,electricidad,1.0,50,1000000,20000,0.25,0.0,electricidad,0.8,1.0,0.02,0.00
almacen_h2,almacenamiento,electricidad,1.0,30,1000000,20000,0.5,0.0,electricidad,0.4,0.0,0.1,0.0001     # LE HE DE SUMAR EL COSTE DEL ELECTROLIZADOR, QUE NO VIENE INCLUIDA
import_gasolina,importacion,gasolina,1.0,100,10000,25000,50.00,0.27,,,,0.0001,
import_diesel,importacion,diesel,1.0,100,10000,250000,50.00,0.26,,,,0.0001,
import_electricidad,importacion,electricidad,1.0,100,10000,25000,60.00,0.1,,1.0,1.00,0.0001,
import_gas,importacion,gas,1.0,100,10000,25000,34.76,0.19,,,,0.0001,
import_fueloleo,importacion,fueloleo,1.0,100,10000,500000,30.00,0.3,,,,0.0001,
import_h2,importacion,hidrogeno,1.0,100,10000,1000000,150.00,0.1,,,,0.05,
import_metanol,importacion,metanol,1.0,100,10000,1000000,91.00,0.25,,,,0.0001,
biomasa,generacion,electricidad,0.95,30,2800000,76000,2.9,0.05,,,1.0,0.07,           # SE LA HA SALTADO
hidrogeno_gris,gen_h2,hidrogeno,1.0,30,700000,28000,1.5,0.9,gas,0.7,,0.02,        # NO SE USA EL HIDRÓGENO GRIS AQUÍ, SE SUMA EL VALOR DE ESTO AL QUE CONSUME GRIS, SI NO SE ESTÁ MEZCLANDO CON EL VERDE
hidrogeno_electrico,gen_h2,hidrogeno,1.0,15,1200000,24000,1.0,0.0,electricidad,0.7,,0.15,         # ESTA ES SIN EL COSTE DE GENERACIÓN AUTÓNOMA.      # SE PUEDE USAR PORQUE YA SE COBRA AQUÍ EL PRECIO DEL CO2  NO SE USA EL HIDRÓGENO GRIS AQUÍ, SE SUMA EL VALOR DE ESTO AL QUE CONSUME GRIS, SI NO SE ESTÁ MEZCLANDO CON EL VERDE
coche_gasolina,transporte_carretera_ligero,transporte_carretera_ligero,1.0,15,25000,1000,0.10,0.27,gasolina,0.25,,0.01,
coche_diesel,transporte_carretera_ligero,transporte_carretera_ligero,1.0,15,29000,1000,0.09,0.26,diesel,0.3,,0.01,
coche_electrico,transporte_carretera_ligero,transporte_carretera_ligero,1.0,15,40000,700,0.10,0.0,electricidad,0.8,,0.10,   # EN VERDAD TIENEN EMISIONES SI LA ELECTRICIDAD NO ES VERDE, PERO NO SE SUELE TENER EN CUENTA Y NO AFECTA A LAS SUBVENCIONES
coche_hidrogeno,transporte_carretera_ligero,transporte_carretera_ligero,1.0,15,336000,900,0.20,0.0,hidrogeno,0.55,,0.09,    
#camion_gasolina,transporte_carretera_pesado,transporte_carretera_pesado,1.0,12,150000,5000,0.2,0.27,gasolina,0.35,,0.01,   # NO EXISTE
camion_diesel,transporte_carretera_pesado,transporte_carretera_pesado,1.0,12,120000,7000,0.18,0.26,diesel,0.4,,0.01,
camion_electrico,transporte_carretera_pesado,transporte_carretera_pesado,1.0,12,250000,8000,0.10,0.0,electricidad,0.80,,0.08,
camion_hidrogeno,transporte_carretera_pesado,transporte_carretera_pesado,1.0,12,318000,10000,0.20,0.0,hidrogeno,0.5,,0.08,
camion_gas,transporte_carretera_pesado,transporte_carretera_pesado,1.0,12,144000,7000,0.19,0.2,gas,0.4,,0.01,
barco_fueloleo,transporte_mar,transporte_mar,1.0,25,82000000,3000000,0.4,0.3,fueloleo,0.50,,0.01,
barco_diesel,transporte_mar,transporte_mar,1.0,25,82000000,3000000,0.38,0.26,diesel,0.46,,0.01,
barco_gas,transporte_mar,transporte_mar,1.0,25,87000000,3100000,0.32,0.19,gas,0.43,,0.01,
barco_hidrogeno,transporte_mar,transporte_mar,1.0,25,110000000,3500000,0.15,0.0,hidrogeno,0.55,,0.07,
barco_metanol,transporte_mar,transporte_mar,1.0,25,90000000,3200000,0.28,0.0,metanol,0.46,,0.05,      #MEZCLA METANOL LIMPIO Y SUCIO 0 PORQUE EN EL IMPORT SOLO SE CUENTA LA IMPORTACIÓN, AQUÍ YA PRODUCIDO NO SE CONTAMINA MÁS
barco_amoniaco,transporte_mar,transporte_mar,1.0,25,100000000,3300000,0.18,0.0,amoniaco,0.4,,0.06,
prod_nh3_h2_verde,industria_amoniaco,amoniaco,1.0,25,1800000,40000,20.0,0.0,hidrogeno,0.65,,0.08,
prod_nh3_h2_elect,industria_amoniaco,amoniaco,1.0,25,1700000,38000,18.0,0.0,electricidad,0.65,,0.07,
prod_nh3_h2_gris,industria_amoniaco,amoniaco,1.0,25,1200000,30000,15.0,1.8,carbon,0.65,,0.02,
prod_ch4_h2_verde,industria_metano,industria_metano,1.0,25,2100000,42000,22.0,0.0,hidrogeno,0.6,,0.09,
prod_ch4_h2_elect,industria_metano,industria_metano,1.0,25,2000000,40000,20.0,0.0,electricidad,0.6,,0.08,
prod_ch3oh_h2_verde,industria_metanol,metanol,1.0,25,3570000,50000,25.0,0.0,hidrogeno,0.72,,0.10,
prod_ch3oh_h2_elect,industria_metanol,metanol,1.0,25,3400000,48000,23.0,0.0,electricidad,0.72,,0.09,
prod_ch3oh_h2_gris,industria_metanol,metanol,1.0,25,2500000,45000,20.0,1.1,carbon,0.72,,0.03,
siderurgia_h2,industria_siderurgica,industria_siderurgica,1.0,40,2000000,60000,30.0,0.0,hidrogeno,0.7,,0.07,
siderurgia_coque,industria_siderurgica,industria_siderurgica,1.0,40,1500000,55000,28.0,2.2,carbon,0.4,,0.01,
siderurgia_electricidad,industria_siderurgica,industria_siderurgica,1.0,40,1800000,57000,25.0,0.0,electricidad,0.85,,0.02,
siderurgia_gas,industria_siderurgica,industria_siderurgica,1.0,40,1600000,56000,28.0,1.5,gas,0.45,,0.02,
cemento_h2,industria_cemento,industria_cemento,1.0,30,1200000,45000,25.0,0.0,hidrogeno,0.45,,0.08,
cemento_carbon,industria_cemento,industria_cemento,1.0,30,1000000,42000,22.0,0.9,carbon,0.4,,0.01,
cemento_electricidad,industria_cemento,industria_cemento,1.0,30,1400000,48000,26.0,0.0,electricidad,0.6,,0.04,
cemento_gas,industria_cemento,industria_cemento,1.0,30,1100000,44000,24.0,0.6,gas,0.45,,0.02,
import_carbon,importacion,carbon,1.0,100,10000,500000,12.8,0.8,,,,0.0001,                                         # SE LO HA SALTADO